Year,ConsentedDwellings,ProjectedDwellings
1991,399,
1992,426,
1993,515,
1994,593,
1995,505,
1996,756,
1997,1135,
1998,1321,
1999,1239,
2000,1017,
2001,1068,
2002,1252,
2003,1323,
2004,1047,
2005,895,
2006,633,
2007,802,
2008,1052,
2009,550,
2010,562,
2011,475,
2012,501,
2013,623,
2014,544,612
2015,640,566
2016,,586
2017,,656
2018,,770
2019,,744
2020,,777
2021,,791
2022,,798
2023,,786
2024,,754
2025,,707
2026,,688
2027,,656
2028,,652
2029,,686
2030,,703
2031,,705
2032,,740
2033,,725
2034,,693
2035,,720
2036,,737
2037,,754
2038,,754
2039,,747
2040,,740
2041,,741
2042,,738
2043,,730
