LV_Quarter,Industrial,Retail       ,Offices       ,Single Unit excluding bach    ,Multi-unit       
Q1 2010,460000,297000,,209000,233500
Q2 2010,,465000,,212000,185000
Q3 2010,123500,226500,,207000,177000
Q4 2010,2075000,255000,,231000,259000
Q1 2011,105000,,,194500,238000
Q2 2011,165000,-2830000,,194000,236000
Q3 2011,,,119000,184000,234000
Q4 2011,207000,2205000,,212000,188100
Q1 2012,1393548,,,203600,208888.5
Q2 2012,,380000,,208000,257062.5
Q3 2012,119000,735147,,188000,191500
Q4 2012,,1850000,,213500,242015.5
Q1 2013,-111000,,,205000,217100
Q2 2013,183000,,,177000,247000
Q3 2013,,,,207000,293500
Q4 2013,,-100000,,226500,288500
Q1 2014,85000,312125,35893,194000,257000
Q2 2014,280000,148000,278000,199000,289510.5
Q3 2014,300000,130000,81400,186000,254000
Q4 2014,88000,232500,3595500,201250,291194
Q1 2015,299000,126500,-135000,195000,305500
Q2 2015,305000,287500,2434500,195950,315500
Q3 2015,334000,692500,311500,190000,260500
Q4 2015,570000,420000,400000,217000,346000
Q1 2016,505000,197500,,215000,273500
Q2 2016,,,,,
Q3 2016,,,,,
Q4 2016,,,,,
