MonthLodged,MeanRentCitywide
1/01/1993,197
1/02/1993,195
1/03/1993,200
1/04/1993,192
1/05/1993,209
1/06/1993,203
1/07/1993,199
1/08/1993,200
1/09/1993,202
1/10/1993,198
1/11/1993,193
1/12/1993,203
1/01/1994,207
1/02/1994,203
1/03/1994,209
1/04/1994,215
1/05/1994,200
1/06/1994,203
1/07/1994,207
1/08/1994,207
1/09/1994,214
1/10/1994,213
1/11/1994,219
1/12/1994,210
1/01/1995,212
1/02/1995,215
1/03/1995,220
1/04/1995,216
1/05/1995,225
1/06/1995,224
1/07/1995,220
1/08/1995,218
1/09/1995,222
1/10/1995,226
1/11/1995,229
1/12/1995,228
1/01/1996,234
1/02/1996,234
1/03/1996,245
1/04/1996,238
1/05/1996,246
1/06/1996,246
1/07/1996,248
1/08/1996,245
1/09/1996,248
1/10/1996,252
1/11/1996,256
1/12/1996,258
1/01/1997,251
1/02/1997,255
1/03/1997,261
1/04/1997,260
1/05/1997,260
1/06/1997,271
1/07/1997,256
1/08/1997,263
1/09/1997,259
1/10/1997,254
1/11/1997,259
1/12/1997,262
1/01/1998,261
1/02/1998,266
1/03/1998,272
1/04/1998,274
1/05/1998,269
1/06/1998,263
1/07/1998,268
1/08/1998,264
1/09/1998,264
1/10/1998,262
1/11/1998,261
1/12/1998,256
1/01/1999,267
1/02/1999,275
1/03/1999,266
1/04/1999,272
1/05/1999,270
1/06/1999,265
1/07/1999,270
1/08/1999,265
1/09/1999,278
1/10/1999,271
1/11/1999,285
1/12/1999,267
1/01/2000,278
1/02/2000,285
1/03/2000,285
1/04/2000,245
1/05/2000,261
1/06/2000,274
1/07/2000,273
1/08/2000,266
1/09/2000,268
1/10/2000,271
1/11/2000,266
1/12/2000,274
1/01/2001,270
1/02/2001,285
1/03/2001,285
1/04/2001,282
1/05/2001,273
1/06/2001,247
1/07/2001,276
1/08/2001,279
1/09/2001,283
1/10/2001,272
1/11/2001,279
1/12/2001,273
1/01/2002,284
1/02/2002,297
1/03/2002,291
1/04/2002,246
1/05/2002,291
1/06/2002,279
1/07/2002,286
1/08/2002,282
1/09/2002,286
1/10/2002,288
1/11/2002,292
1/12/2002,294
1/01/2003,292
1/02/2003,309
1/03/2003,309
1/04/2003,303
1/05/2003,267
1/06/2003,302
1/07/2003,297
1/08/2003,268
1/09/2003,282
1/10/2003,300
1/11/2003,302
1/12/2003,293
1/01/2004,304
1/02/2004,325
1/03/2004,324
1/04/2004,243
1/05/2004,307
1/06/2004,307
1/07/2004,311
1/08/2004,314
1/09/2004,316
1/10/2004,305
1/11/2004,307
1/12/2004,312
1/01/2005,319
1/02/2005,332
1/03/2005,330
1/04/2005,321
1/05/2005,250
1/06/2005,320
1/07/2005,318
1/08/2005,317
1/09/2005,320
1/10/2005,317
1/11/2005,320
1/12/2005,312
1/01/2006,331
1/02/2006,357
1/03/2006,343
1/04/2006,338
1/05/2006,332
1/06/2006,248
1/07/2006,329
1/08/2006,337
1/09/2006,347
1/10/2006,338
1/11/2006,344
1/12/2006,343
1/01/2007,354
1/02/2007,389
1/03/2007,379
1/04/2007,360
1/05/2007,357
1/06/2007,372
1/07/2007,356
1/08/2007,308
1/09/2007,351
1/10/2007,362
1/11/2007,378
1/12/2007,373
1/01/2008,379
1/02/2008,419
1/03/2008,402
1/04/2008,390
1/05/2008,300
1/06/2008,390
1/07/2008,399
1/08/2008,377
1/09/2008,379
1/10/2008,377
1/11/2008,393
1/12/2008,398
1/01/2009,389
1/02/2009,399
1/03/2009,389
1/04/2009,397
1/05/2009,413
1/06/2009,392
1/07/2009,379
1/08/2009,379
1/09/2009,402
1/10/2009,388
1/11/2009,401
1/12/2009,405
1/01/2010,408
1/02/2010,443
1/03/2010,386
1/04/2010,419
1/05/2010,415
1/06/2010,404
1/07/2010,387
1/08/2010,406
1/09/2010,395
1/10/2010,391
1/11/2010,418
1/12/2010,401
1/01/2011,413
1/02/2011,418
1/03/2011,429
1/04/2011,405
1/05/2011,399
1/06/2011,396
1/07/2011,376
1/08/2011,397
1/09/2011,402
1/10/2011,400
1/11/2011,399
1/12/2011,417
1/01/2012,429
1/02/2012,434
1/03/2012,428
1/04/2012,425
1/05/2012,422
1/06/2012,398
1/07/2012,389
1/08/2012,391
1/09/2012,381
1/10/2012,403
1/11/2012,411
1/12/2012,421
1/01/2013,428
1/02/2013,428
1/03/2013,443
1/04/2013,434
1/05/2013,425
1/06/2013,412
1/07/2013,405
1/08/2013,409
1/09/2013,408
1/10/2013,407
1/11/2013,405
1/12/2013,424
1/01/2014,443
1/02/2014,461
1/03/2014,447
1/04/2014,453
1/05/2014,435
1/06/2014,427
1/07/2014,412
1/08/2014,423
1/09/2014,419
1/10/2014,426
1/11/2014,422
1/12/2014,451
1/01/2015,452
1/02/2015,455
1/03/2015,477
1/04/2015,458
1/05/2015,422
1/06/2015,453
1/07/2015,422
1/08/2015,432
1/09/2015,416
1/10/2015,414
1/11/2015,442
1/12/2015,440
1/01/2016,459
1/02/2016,488
1/03/2016,483
1/04/2016,483
